h2_ID,n_clusters,matched_cluster_IDs,logLHa,LHa_erg_s,logQH0_2.3pct,logQH0_15.9pct,logQH0_median,logQH0_84.1pct,logQH0_97.7pct,logQH0_1sigma_width,fesc_15.9pct,fesc_median,fesc_84.1pct,fesc_median_recomputed,log_clusterMass_median_Msun,passes_QH0_cut
1161,3,3514;3515;3516,38.2786,1.89946e+38,49.3347,49.6436,49.8551,50.0165,50.1465,0.37289,-2.15485,-0.938631,-0.336867,-0.938631,3.84799,1
1162,3,2806;2807;2808,38.5869,3.86321e+38,49.9708,50.3115,50.5944,50.7815,50.8966,0.470023,-0.378423,0.281445,0.532954,0.281445,4.36438,1
1174,6,3481;3482;3483;3484;3485;3486,38.5588,3.62054e+38,50.0307,50.1828,50.3119,50.4261,50.5341,0.243243,-0.737198,-0.290477,0.00778325,-0.290477,4.21298,1
1190,6,3473;3474;3477;3478;3479;3491,38.6948,4.95225e+38,49.4569,49.8858,50.2934,50.5073,50.6929,0.621503,-3.70932,-0.842086,-0.125784,-0.842086,4.45481,0
1205,3,2726;2727;2739,38.2624,1.82973e+38,49.7675,50.0653,50.2239,50.3532,50.4672,0.287912,-0.150871,0.20118,0.406918,0.20118,3.97489,1
1208,1,2704,37.2906,1.95268e+37,43.8613,44.7876,45.7855,49.3784,49.6285,4.59078,-23277.2,-2338.14,0.402732,-2338.14,3.42764,0
1209,3,2692;2706;2717,38.0149,1.03486e+38,48.6435,49.3198,49.6272,49.8317,50.0544,0.511952,-2.62269,-0.784949,-0.114498,-0.784949,4.0309,0
1215,2,2687;2693,38.4562,2.85888e+38,48.5838,50.1625,50.3979,50.5496,50.6822,0.387034,-0.437359,0.16397,0.410436,0.16397,4.03183,1
1218,6,3459;3460;3461;3464;3465;3466,38.0563,1.13841e+38,49.7878,49.9877,50.1421,50.2627,50.363,0.274935,0.144002,0.400111,0.545496,0.400111,4.16814,1
1231,2,2659;2680,37.3152,2.06651e+37,47.8632,48.7986,49.2515,49.439,49.6004,0.640359,-1.40187,0.153423,0.450218,0.153423,3.99997,0
1249,1,2627,38.1017,1.26392e+38,48.3682,49.0966,49.5143,49.7245,49.8797,0.627935,-6.39706,-1.82687,-0.742306,-1.82687,3.37616,0
1253,5,3436;3438;3439;3440;3456,38.2582,1.81216e+38,49.8949,50.1821,50.3456,50.4829,50.6418,0.300732,0.129076,0.402322,0.564239,0.402322,4.56304,1
1257,1,2633,37.2099,1.62131e+37,45.3964,46.315,47.2096,47.9892,48.701,1.67418,-572.768,-72.1431,-11.1495,-72.1431,3.89322,0
1265,4,3427;3428;3431;3432,38.4654,2.91989e+38,49.6958,49.9802,50.1496,50.2807,50.3867,0.300416,-1.2338,-0.512451,-0.118483,-0.512451,4.0398,1
1279,1,3425,37.2927,1.962e+37,43.2639,44.5883,45.7693,46.7895,50.0826,2.20119,-37006.7,-2438.8,-231.862,-2438.8,4.0002,0
1290,1,2583,37.5351,3.42871e+37,47.4568,48.4131,49.0463,49.2625,49.4172,0.849495,-8.68274,-1.25308,-0.369315,-1.25308,2.9715,0
1308,3,2559;2567;2568,38.475,2.98564e+38,49.6961,50.2115,50.391,50.5182,50.6311,0.306739,-0.341181,0.112884,0.338167,0.112884,4.10548,1
1310,1,3412,37.9896,9.7633e+37,47.548,48.4168,49.1087,49.389,49.5618,0.972211,-26.3339,-4.55676,-1.914,-4.55676,3.18824,0
1314,4,2553;2554;2555;2556,37.522,3.3263e+37,49.3348,49.6164,49.8155,49.972,50.3351,0.355584,0.411846,0.628144,0.740638,0.628144,4.67726,1
1323,1,2512,36.9681,9.29218e+36,39.6362,40.4982,41.4614,42.4321,48.7501,1.93383,-2.15683e+08,-2.34787e+07,-2.51179e+06,-2.34787e+07,4.71333,0
1333,1,2518,37.8141,6.51809e+37,48.1817,48.9859,49.4431,49.6615,49.8185,0.675652,-3.92242,-0.717775,-0.0387881,-0.717775,3.34876,0
1360,1,3410,36.9745,9.42881e+36,44.747,45.3847,46.1558,46.9725,47.3239,1.58776,-2841.05,-480.463,-72.4306,-480.463,3.55128,0
1378,2,2482;2492,37.3637,2.31054e+37,46.6165,47.4772,49.7899,50.0393,50.2125,2.56206,-55.2865,0.726043,0.845709,0.726043,3.99623,0
1392,1,2441,37.321,2.09403e+37,44.934,45.7915,46.8219,47.2703,47.6938,1.4788,-2473.08,-229.667,-81.1512,-229.667,3.46198,0
1399,4,2423;2426;2431;2432,37.5663,3.68375e+37,48.9647,49.2884,49.5537,49.7872,50.1707,0.498873,-0.386299,0.247436,0.560475,0.247436,4.12391,1
1409,1,3384,37.2958,1.97617e+37,47.0975,48.5043,49.2048,49.4268,49.5838,0.922587,-3.52366,0.0985954,0.459367,0.0985954,3.15896,0
1422,1,2382,38.1845,1.52916e+38,45.6734,46.2623,46.6505,47.0792,49.7686,0.816855,-6109.18,-2498.72,-930.534,-2498.72,3.4014,0
1440,3,2334;2351;3368,38.2265,1.68465e+38,49.4577,49.9194,50.2398,50.4171,50.5437,0.497677,-0.482468,0.291056,0.528688,0.291056,4.1387,1
1445,2,3350;3358,37.7643,5.8122e+37,48.6201,49.2883,49.6291,49.8216,49.958,0.533266,-1.18742,0.00198302,0.359283,0.00198302,3.62007,0
1460,1,3351,37.3741,2.3665e+37,42.1282,43.4488,44.905,46.4822,49.7955,3.03334,-615469,-21529.9,-568.988,-21529.9,3.79773,0
1490,1,2312,38.2316,1.70469e+38,47.8666,49.6825,49.9325,50.097,50.2339,0.414513,-1.58881,-0.455676,0.00324849,-0.455676,3.56042,1
1494,2,3333;3334,37.4711,2.95894e+37,48.8894,49.5891,49.8419,50.0459,50.1801,0.456778,0.442868,0.688697,0.805383,0.688697,3.7867,1
1529,1,3321,37.0649,1.16122e+37,40.6865,41.5049,43.5898,46.5875,48.992,5.08257,-2.6543e+07,-218307,-218.472,-218307,4.07733,0
1543,2,3307;3317,37.0703,1.17565e+37,45.7478,46.226,47.2067,49.6663,49.9109,3.44027,-509.692,-52.3916,0.814696,-52.3916,3.81033,0
1584,2,2218;2222,37.8554,7.16862e+37,47.5697,48.1401,48.8406,49.222,49.5287,1.08185,-36.9517,-6.56331,-2.14328,-6.56331,3.5093,0
1609,1,3269,37.5456,3.51214e+37,44.1829,46.3343,49.4627,49.6813,49.8395,3.34698,-1188.02,0.115356,0.465179,0.115356,3.29503,0
1624,5,2120;2127;2176;3262;3273,37.7564,5.70739e+37,47.9824,49.2919,49.7885,51.7893,54.5479,2.49747,-1.13055,0.321036,0.993223,0.321036,4.47316,0
1654,2,3250;3251,38.7518,5.64712e+38,50.2373,50.4007,50.5455,50.6826,50.815,0.281938,-0.640896,-0.175587,0.142679,-0.175587,4.19598,1
1655,1,2121,38.0827,1.20983e+38,46.8399,49.8224,50.0953,50.2589,50.3973,0.43643,-0.331069,0.289899,0.512728,0.289899,3.69171,1
1670,1,2096,37.4867,3.06709e+37,47.4212,48.0221,48.7553,49.1974,49.403,1.17531,-20.3105,-2.93902,-0.423264,-2.93902,3.17512,0
1673,3,2088;2089;2090,38.2693,1.85895e+38,50.0434,50.2147,50.3614,50.4964,50.6253,0.281686,0.171199,0.40868,0.566725,0.40868,4.1072,1
1685,1,2098,37.6876,4.87027e+37,47.9325,48.7826,49.3302,49.5504,49.7082,0.767818,-4.87346,-0.664599,-0.00248227,-0.664599,3.26004,0
1691,1,2052,37.965,9.22669e+37,47.6121,48.7582,49.2478,49.4327,49.5785,0.674434,-10.7684,-2.81184,-1.49049,-2.81184,3.0425,0
1721,1,2005,37.6939,4.94208e+37,35.6415,37.5709,39.8481,41.7214,45.8425,4.15055,-9.70403e+11,-5.12486e+09,-6.86116e+07,-5.12486e+09,4.21439,0
1728,1,2045,37.9074,8.07913e+37,45.5438,46.7787,49.5101,49.717,49.8725,2.93834,-982.121,-0.824672,-0.133094,-0.824672,3.36897,0
1734,4,2004;2014;2017;2022,38.553,3.57233e+38,47.6629,49.155,49.5511,49.852,50.2389,0.697016,-17.2743,-6.34083,-2.67134,-6.34083,4.27961,0
1740,1,3202,36.9392,8.69313e+36,42.9796,44.528,46.0509,46.5967,48.8858,2.06865,-18838.5,-564.241,-159.847,-564.241,3.6553,0
1744,2,2049;2050,37.4437,2.77778e+37,48.8258,49.3261,49.6028,49.7806,49.909,0.454516,0.0416323,0.493189,0.663476,0.493189,3.58654,1
1755,1,3194,37.6185,4.15396e+37,46.7646,49.5285,49.8922,50.0915,50.2445,0.562965,0.100826,0.610769,0.754032,0.610769,3.64322,0
1767,1,3189,37.5607,3.63652e+37,42.4604,43.6572,45.0633,49.13,49.6774,5.47278,-585304,-22975.4,-0.970624,-22975.4,3.60383,0
1802,1,1987,37.1784,1.50783e+37,39.9407,41.1036,42.3715,44.6853,46.478,3.58168,-8.68301e+07,-4.68522e+06,-22749.5,-4.68522e+06,4.09157,0
1814,1,3177,37.5796,3.79815e+37,47.6046,48.4691,49.1151,49.3517,49.5125,0.882578,-8.42706,-1.12981,-0.235372,-1.12981,3.10357,0
1815,1,1925,37.4855,3.05854e+37,47.625,48.6061,49.2216,49.454,49.6149,0.847889,-4.53709,-0.342282,0.214053,-0.342282,3.17427,0
1834,1,1885,37.6345,4.31056e+37,43.843,44.7334,45.5292,46.7085,47.5998,1.97512,-58218,-9314.62,-615.515,-9314.62,3.55272,0
